id,qid1,qid2,question1,question2,is_duplicate
836,1673,1674,What is difference between net and gross income?,What is the difference between gross income versus net income?,1
837,1675,1676,How can I wake up early in the morning?,How can I get up early in the morning?,1
840,1681,1682,What is the difference between the iPhone 6s and iPhone 6s Plus?,What's the difference between the iPhone 6 and the iPhone 6s?,1
848,1697,1698,What is the IELTS all about?,What is IELTS and its use?,1
849,1699,1700,How do I lose weight without doing any sport?,How do I lose weight without doing exercise or diet?,1
850,1701,1702,Why do digital cameras have shutter sound?,What digital cameras have electronic shutter that can be set to make absolutely no sound or noise?,1
852,1705,1706,What were the main and most important political causes of World War 1?,What were the causes for World War 1?,1
855,1711,1712,What is the difference between HDD and SSD in layman's terms?,What is differences between SSD and hdd?,1
856,1713,1714,What does it mean if a dog vomits white foam?,Why is my puppy vomiting white foam?,1
858,1717,1718,How is the job situation in New Zealand for computer science graduates?,How is the job situation in New Zealand for computer science graduates diploma?,1
859,1719,1720,How would I develop an e-commerce website?,How do I create an e-commerce website?,1
861,1723,1724,What can I do to improve my question on Quora?,All my questions on Quora need improvement. What is the best way to ask a question on Quora?,1
863,1727,1728,What are some tips for someone trying to teach themselves to sing?,How can I teach myself how to sing?,1
869,1739,1740,What are some of the pros and cons of a Hillary Clinton presidency?,What are pros and cons of Hillary Clinton?,1
872,1745,1746,Which is the best coaching center for SSC and Banking in Chandigarh?,Which are the best SSC and banking coaching centers in Chandigarh?,1
874,1749,1750,What are the best things to do on Halloween?,What do we need to have the best Halloween?,1
876,1753,1754,Why do companies issue bonus shares?,Why do company issue bonus shares?,1
877,1755,1756,How can changing 500 and 1000 rupee notes end the black money in India?,Do you think scrapping of 500 and 1000 rupee denominations is going to eradicate corruption?,1
880,1761,1762,Are there any telescopes powerful enough to view evidence left behind from NASA's moon landings?,"Do we have telescopes powerful enough nowadays to see the man-made objects left on the moon by the Apollo missions, proving 100% that humans did in fact land there?",1
889,1779,1780,Have you ever been fired?,Have you ever been fired? How did you deal with it?,1
890,1781,1782,How on earth would I dress like a workout guy from the year 1990 in the summer?,How would I dress like a workout guru from the year 1990 in the summer?,1
891,1783,1784,My girlfriend has stopped talking to me. What should I do?,My girlfriend is not talking to me. What should I do?,1
892,1785,1786,What will the real estate look like now after the 500 and 1000 scraping?,How will abolishing Rs. 500 and Rs. 1000 notes affect the real estate businesses in India?,1
893,1787,1788,What are the best interview questions ever asked?,What are the best interview questions to ask?,1
898,1797,1798,Has wizard magic been scientifically tested?,Have mages been scientifically tested?,1
903,1807,1808,Why there is so much nudity content in Game of Thrones?,Why is there so much nudity in the Game of Thrones TV Series?,1
904,1809,1810,How can I get followers and comments on my blog?,How can i get more follower on my blog?,1
905,1811,1812,I have only 2 months for my CA CPT exams how do I prepare?,I want to crack CA CPT in 2 months. How should I study?,1
906,1813,1814,What programming language should I learn if I want to do a 2D MMORPG game?,Which programming language should I learn if I want to develop gaming apps?,1
907,1815,1816,What is your view on the recent demonetization in India?,What are your views on demonetization of ₹500 & ₹1000 notes in India?,1
908,1817,1818,Why was cyrus mistry removed?,Why TATA sons replaced Cyrus Mistry to Ratan TATA?,1
915,1831,1832,What is the first moment you remember in your Life?,What is the very first thing you remember in your life?,1
916,1833,1834,What can I do after completing BDS?,What can we do after completing BDs?,1
917,1835,1836,Does all Muslims hate Narendra Modi?,Why Muslims hate Modi government?,1
918,1837,1838,I'm 18. What should I do?,What can I do when I'm 18?,1
919,1839,1840,What are some really good and famous romantic comedy movies?,What are the best romantic comedy movies?,1
922,1845,1846,How should I start meditating?,"How should I start meditating, and when?",1
923,1847,1848,Can an infinite amount of dark or vacuum or gravitational energy be created with expansion?,"Is the potential energy of vacuum energy, virtual particles and/or dark energy infinite? NO MERGE",1
929,1859,1860,Should you post picture on social media?,Should you post pictures on social media?,1
930,1861,1862,Can we control our actions in a dream?,Can we control our dreams? Can we dream what we wanna dream about?,1
934,1869,1870,Did Trump win the election?,Does Donald Trump have any chance of winning the forthcoming election?,1
938,1877,1878,Why does the caste system still exist in India?,Why does the caste system exist in India even after 7 decades of Independence?,1
939,1879,1880,How do I get a boyfriend for age 13?,How can I get a boyfriend at age 13?,1
943,1887,1888,What are some new marketing techniques for language schools?,What are marketing techniques for language schools?,1
945,1891,1892,What are the easy ways to earn money online?,How can I earn money on internet?,1
946,1893,1894,What is reactance in a capacitor?,What is the reason behind the reactance of a capacitor?,1
949,1899,1900,Why is Saltwater taffy candy imported in Australia?,Why is saltwater taffy candy imported in Austria?,1
951,1903,1904,Which are the best part-time jobs to do in Bangalore?,What are the best part time jobs we can do in Bangalore?,1
952,1905,1906,How do I become an attractive girl?,How do you become pretty/attractive?,1
953,1907,1908,What are some of the best music albums ever?,What is regarded as the best music album?,1
954,1909,1910,"Realistically speaking, what would happen to the USA if Donald Trump wins Presidency in the 2016 elections?",Why is Donald Trump supported so much? What will happen if he wins the election?,1
956,1913,1914,What's it like to be a non-smoking mother of smoking children?,What's it like to be non-smoking mother of the smoking children?,1
958,1917,1918,"How comfortably can I live in Washington DC on a $80,000 salary?","Can I live comfortably in DC on $80,000 - $114,000 salary?",1
959,1919,1920,How do you find out if a girl has a boyfriend?,How do I tell if a girl has a boyfriend?,1
962,1925,1926,How could I gain weight in a healthy way?,How can I gain healthy weight and mass?,1
966,1933,1934,How do I know if my spouse is my soulmate?,How can I know that he is my soulmate?,1
967,1935,1936,How do I get to be a people person?,How should I be a people person?,1
968,1937,1938,How does a long distance relationship work?,Do long distance relationships work?,1
969,1939,1940,HOw do I speak Fluent English?,How can I understand english?,1
973,1947,1948,Where can I find a hacker for good cause?,Where can I find a good hacker?,1
980,1961,1962,What can I do to get a job at Microsoft?,How do I get job in Google or Microsoft?,1
983,1967,1968,Is it physically possible to travel back in time?,Is it possible to travel back or forward in time?,1
985,1971,1972,How do I recover deleted messages in Facebook?,How do I recover deleted Facebook messages?,1
989,1979,1980,Life can be boring. What to do?,My life is boring. What can I do?,1
991,1983,1984,What would be a cool way to commit suicide?,What can be the most insane ways to commit suicide?,1
998,1997,1998,Could we use cherenkov atmosphere radiation (with gamma rays or similar) to image the surface of a planet from here with ground based telescopes?,Can we map the surface (and the subsurface) of a planet using cosmic rays or very high frequency gamma rays with ground based telescopes?,1
0,1,2,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0
1,3,4,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0
2,5,6,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0
3,7,8,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0
4,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0
6,13,14,Should I buy tiago?,What keeps childern active and far from phone and video games?,0
8,17,18,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0
9,19,20,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0
10,21,22,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0
14,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0
17,35,36,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0
19,39,40,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0
21,43,44,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0
22,45,46,What are the questions should not ask on Quora?,Which question should I ask on Quora?,0
23,47,48,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0
24,49,50,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0
25,51,52,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0
26,53,54,What is web application?,What is the web application framework?,0
27,55,56,Does society place too much importance on sports?,How do sports contribute to the society?,0
28,57,58,What is best way to make money online?,What is best way to ask for money online?,0
30,61,62,What's one thing you would like to do better?,What's one thing you do despite knowing better?,0
33,67,68,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0
34,69,70,What is the best travel website in spain?,What is the best travel website?,0
35,71,72,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0
36,73,74,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0
37,75,76,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0
39,79,80,What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0
40,81,82,Why do Slavs squat?,Will squats make my legs thicker?,0
41,83,84,When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,0
42,85,86,"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0
43,87,88,Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0
44,89,90,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0
45,91,92,What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0
46,93,94,How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0
47,95,96,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?",0
52,105,106,Nd she is always sad?,Aerodynamically what happens when propellor rotates?,0
54,109,110,How GST affects the CAs and tax officers?,Why can't I do my homework?,0
55,111,112,How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,0
56,113,114,Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0
57,115,116,What are some good rap songs to dance to?,What are some of the best rap songs?,0
59,119,120,What are the best ways to learn French?,How do I learn french genders?,0
60,121,122,How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,0
61,123,124,Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0
63,127,128,Why do I always get depressed?,Why do I always get depressed in the evening?,0
64,129,130,Where can I find a European family office database?,Where do I find a U.S. family office database?,0
68,137,138,What is your review of Performance Testing?,What is performance testing?,0
69,139,140,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,0
70,141,142,What are the types of immunity?,What are the different types of immunity in our body?,0
76,153,154,How do I prevent breast cancer?,Is breast cancer preventable?,0
77,155,156,How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0
78,157,158,How can I make money through the Internet?,"What are some different ways to make money online, excluding selling things?",0
80,161,162,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",0
81,163,164,What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0
82,165,166,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0
83,167,168,Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,0
87,175,176,What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,0
89,179,180,What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,0
90,181,182,What is the best reference book for physics class 11th?,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",0
91,183,184,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0
94,189,190,What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,0
96,193,194,What was it like to attend Caltech with Jeremy Ehrhardt?,Who are some notable folks who attended Caltech?,0
97,195,196,Why did harry become a horcrux?,What is a Horcrux?,0
98,197,198,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,0
99,199,200,Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0
101,203,204,Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,0
102,205,206,What were the war strategies of the Union and the Confederates during the Civil War?,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,0
103,207,208,Which is the best fiction novel of 2016?,Which are some of the best fiction novels?,0
105,211,212,Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,0
106,213,214,Have you ever heard of travel hacking?,Can WhatsApp be hacked?,0
108,217,218,How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,0
109,219,220,How Google helps in spam ranking adjustment of the search results?,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",0
110,221,222,Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,0
111,223,224,Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,0
112,225,226,How do you obtain an instant ulcer pain relief?,What is better for a low back pain: heat or ice?,0
114,229,230,What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0
115,231,232,Why do we cry when we are happy and when we are sad?,Why do we cry?,0
116,233,234,Why do some girls like to stick their their tongues out when taking pictures?,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,0
117,235,236,"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?",0
118,237,238,What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,0
119,239,240,Should the toothbrush be wet or dry before applying the toothpaste?,What is the cheapest toothpaste?,0
121,243,244,What is the difference between a neutral state and a buffer state?,"If every state of the USA declared war against each other, which would win?",0
123,247,248,What is the greatest mystery in the universe?,What is the greatest mystery of all time?,0
124,249,250,What is the alternative to machine learning?,How do I over-sample a multi-class imbalance data set?,0
126,253,254,What is the mean of future budget?,What is the meaning of the future?,0
128,257,258,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,0
129,259,260,How do I access Torbox in India?,How do I access Google.com from India?,0
130,261,262,What are some yakshini mantras?,What is a Yantra & Mantra?,0
131,263,264,Was six party talks successful?,Which course is better in NICMAR?,0
132,265,266,How do I register my domain site email?,How do you register a .an domain?,0
133,267,268,Is it normal for older men to be attracted to young women?,Why am I attracted to older men?,0
134,269,270,What is the strongest structure or strongest shape under compression?,What is the strongest Kevlar cord?,0
137,275,276,Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,0
138,277,278,How i get hair on bald head?,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",0
139,279,280,What is the ideal life after retirement?,What's life after retirement?,0
140,281,282,What is our stance against Pakistan?,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,0
141,283,284,What are good websites for escorts?,How do I find a good escort?,0
142,285,286,Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?,0
145,291,292,Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,0
146,293,294,How would you review the site Waveclues?,Is there a good pay for reviews site out there?,0
147,295,296,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,0
148,297,298,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,0
149,299,300,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,0
150,301,302,How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,0
151,303,304,How can I stop being afraid of working?,How do you stop being afraid of everything?,0
153,307,308,At what age should someone lose their virginity?,"At what age, how, and where did you lose your virginity?",0
154,309,310,How forgetful are you?,How can I forget my wife?,0
155,311,312,Could Snoke secretly be Darth Maul?,How could snoke be darth plagueis if he was killed by the emperor?,0
157,315,316,Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,0
161,323,324,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?","If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",0
162,325,326,What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,0
164,329,330,How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,0
166,333,334,Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,0
167,335,336,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,"Which is correct: ""speak with"" or ""speak to""?",0
169,339,340,How do you make life suit you and stop life from abusing you mentally and emotionally?,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?",0
170,341,342,What is the difference between gross salary and CTC?,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",0
171,343,344,Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,0
172,345,346,What is the best way to gain confidence?,How can I speak with more clarity and confidence?,0
174,349,350,How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0
177,355,356,"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?",0
181,363,364,How can I stop being addicted to love?,How do I stop being addicted to someone?,0
183,367,368,How do I find a startup accelerator?,How do startup accelerators give you the funding?,0
184,369,370,How can I check wifi history and access it through android phones?,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,0
186,373,374,What is the most creative college admissions essay you've read?,Has any college admission officer cried in public while reading an applicant's essay?,0
187,375,376,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",What happens if eye medicine enters the eye?,0
192,385,386,Who was the wife of Lord Krishna?,Who is the father of lord Krishna?,0
195,391,392,What is the work of an executive recruiter like?,What is it like to work with an executive recruiter?,0
196,393,394,Which psychological need does 'collecting' fulfill?,Why do people collect things?,0
201,403,404,Are there People who are willing to give free lectures or conduct free workshop in India colleges?,"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?",0
202,405,406,What's the best way to start learning robotics?,What is the best way to start robotics? Which is the best development board that I can start working on it?,0
204,409,410,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?",0
205,411,412,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?","Is atheism the lack of belief in gods, or a claim that god does not exist?",0
206,413,414,What is it like to be Jack Dorsey?,What is Jack Dorsey like?,0
207,415,416,What are the best quotes/lessons of the Assassin's Creed series?,Which assassin has the best robes in Assassin's Creed?,0
208,417,418,"Do inkjet printers use color ink when printing black and white documents? If so, why?","If CMYK printers create black by using colored ink and only complementing with black ink, why do shops charge more for color prints?",0
211,423,424,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?,Why don't phones have a built-in FM antenna?,0
212,425,426,What are the best career growth technologies for automation engineers apart from automation tools?,Himalayan or Duke KTM 200 for touring?,0
213,427,428,What are the disadvantages of listing a company in NSE?,What are the benefits of listing a company in NSE?,0
214,429,430,How many derivatives of an object's position with respect to time have to be continuous?,When does drawing become fun?,0
217,435,436,What is a profitable way to trade binary options?,What is binary options trading?,0
218,437,438,How do I utilize free time to avoid depression?,Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?,0
222,445,446,How can I find job in Japan?,How can I find an IT job in Japan?,0
223,447,448,"What are some examples of sentences using the word ""hysteria""?",What is the best home wireless network setup and expected speeds?,0
225,451,452,How scary is it to drive on the road to Hana given all of the turns?,Do I need a four-wheel-drive car to drive all the way on the Road to Hana?,0
227,455,456,Does cognition affect perception?,Does cognitive strain affect digestion?,0
228,457,458,How TQWL is different from CKWL (Tatkal waiting list)?,I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?,0
230,461,462,How many Champions are there in League of Legends?,Who is the best LoL (League of Legends) champion?,0
231,463,464,Is drinking 4 liters of water each day unhealthy?,How many liters of water should I drink if I run 5kms daily?,0
232,465,466,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?","Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Como?",0
233,467,468,Do porn stars watch porn?,How can I book Ronda Rousey to star in an adult movie?,0
234,469,470,"Trump supporters, how do you feel about the way he's walking back his promises?",Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,0
237,475,476,"If I jump rope for five minutes, how many calories will I use?",What's the best way to jump rope?,0
239,479,480,What is the best material for understanding algorithmic analysis by a newbie?,What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,0
240,481,482,What is the temperament of a Bullmastiff/Husky mix?,What is the temperament of a Corgi-Husky mix?,0
241,483,484,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?","How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?",0
245,491,492,How do you get a book published?,What are the good ways to write and publish a book?,0
247,495,496,Why can flash run so fast?,The Flash (DC character): How fast can the Flash run a mile?,0
248,497,498,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",How can I best invest ₹5000 over the next 6 months?,0
252,505,506,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,0
254,509,510,"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,0
256,513,514,How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,0
257,515,516,What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,0
258,517,518,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,Why don't most of the Hindus eat non-veg?,0
259,519,520,What will happen if I cancel TQWL tickets before the charting is done?,Can we cancel a 'Tatkal waiting list' ticket?,0
263,527,528,What do you do if you had a bad dream?,How do you not get bad dreams?,0
264,529,530,Why do Slavs squat?,Do squats work for men?,0
265,531,532,How many marks should I score for AIIMS rank 151?,What minimum marks should I score to get among top 50 in AIIMS?,0
266,533,534,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,0
268,537,538,How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?",0
271,543,544,Why aren't there more apps like Word Lens?,What does Word Lens use for OCR?,0
272,545,546,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?",0
276,553,554,How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?",0
277,555,556,How do most people die?,How do people die?,0
278,557,558,Why are most clothes made of polyester now instead of cotton?,How are cotton clothes made?,0
279,559,560,What is in bone marrow?,What does bone marrow taste like?,0
280,561,562,Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",0
282,565,566,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over someone I loved now that we broke up last year and I still miss her?,0
283,567,568,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
289,579,580,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,0
290,581,582,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,0
292,585,586,What is CPAGrip.com?,What is bestmytest.com?,0
294,589,590,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0
297,595,596,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
298,597,598,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,0
300,601,602,How should I start small business effectively?,How should I start a small business in construction?,0
301,603,604,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0
302,605,606,Do you need friends?,Why do we need friends?,0
303,607,608,Do I exist?,Do we exist?,0
305,611,612,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,0
306,613,614,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,0
310,621,622,Can I use Jio SIM in iPhone 5s?,Does iPhone 5S support JIO VoLTE?,0
311,623,624,What are some unwritten rules in USA?,What are some unwritten rules you have for your home?,0
313,627,628,What are the best songs for low voices?,What are some songs for a sweet airy mezzo voice?,0
314,629,630,Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,0
315,631,632,When was the birth of the trigonometric functions?,Who were the creators of trigonometry?,0
316,633,634,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?",0
319,639,640,Why should I learn web design?,How can I learn about web design?,0
320,641,642,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,0
324,649,650,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,0
325,651,652,How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,0
327,655,656,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0
328,657,658,What is journalism for you?,What is journalism?,0
330,661,662,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",0
332,665,666,What is the difference between deism and agnosticism?,What is the difference between a hobby and a habit?,0
333,667,668,Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,0
334,669,670,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,Can I get a job in a consulting firm after Mtech in CSE from IIT?,0
335,671,672,Is there a biological reason that people cry when they are emotional?,What is the biological reason for crying?,0
336,673,674,What are 5 facts about the earth's crust?,How does the Earth's core affect its crust?,0
337,675,676,Why does ISRO not use friction stir welding technology?,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?,0
338,677,678,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,How can I fake my iPhone location without jailbreaking?,0
340,681,682,Which is the best programing language for tcs?,Which is the best programming language?,0
342,685,686,Is Kristen Stewart a bad actress?  Why or why not?,Is Jennifer Lawrence a bad actress?,0
